commit	val_bpb	memory_gb	status	description
06099f2	1.475049	8.4	keep	baseline (this hardware, current train.py: depth 4, batch 2^16, matrix_lr 0.04, + mid-training monitoring)
ee4ec7c	1.425118	7.0	keep	remove logit softcap (15*tanh(logits/15))
854ec3a	1.346317	6.9	keep	MLP activation ReLU^2 -> SiLU
cfe0e12	1.417481	6.9	discard	increase matrix LR to 0.06
e514832	1.355217	6.9	discard	lower weight decay to 0.1
acdeb09	1.350205	6.7	discard	MLP expansion 4x -> 3x
cf7d8f7	1.618490	10.5	discard	depth 4 -> 6
b266244	1.341363	6.3	keep	depth 4 -> 3
3092c4d	1.393834	4.9	discard	depth 3 -> 2
37fcef9	1.457107	7.6	discard	aspect ratio 64 -> 96 (wider)
8abbd5a	1.353991	5.3	discard	aspect ratio 64 -> 32 (narrower)
59dc484	1.336186	4.0	discard	halve total batch size to 2^14 (device batch 8)
c6c9302	1.314643	6.2	keep	longer LR anneal, warmdown 0.5 -> 0.8
55649fe	1.314870	6.2	discard	full anneal, warmdown 0.8 -> 1.0
dbdb5e0	1.321969	6.2	discard	increase embedding LR 0.6 -> 0.9
